City,State,Population,People per sq mi,Metro Name,Metro population,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual days of precipitation,Annual days of sunshine,Annual snowfall (in),Avg Summer Dew Point,Avg Annual Dew Point,Average yearly windspeed (mph),Violent crime index,Property crime index,Median age,% with at least Bachelor's degree,Median household income,Poverty Rate,Avg Apartment Monthly Rent,Avg Apartment sqft,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Home appreciation Last Year,Home appreciation Last 5 Years,Home appreciation Last 10 Years,Air quality Index,Average one-way commute time,Unemployment rate,Job growth last year,Population growth since 2010,County,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Elevation (ft),UV Index,Single Population,Walk Score,Transit Score,Bike Score,% of income spent on housing costs (owners),Number of sex offenders per 10k residents,Number of hurricanes since 1930,Number of tornadoes per year,Number of earthquakes since 1931,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Fips Code,Land Area (sq mi),Labor Force Participation rate
Allenstown,New Hampshire,4315,212,Concord,152622,82,32,50,42,128,199,58,N/A,N/A,7,10,22,N/A,16.02%,$52750,N/A,N/A,N/A,$222600,N/A,N/A,41,74.20%,7%,27%,11%,77,26 mins,2.10%,1.40%,-4.30%,Merrimack County,48.10%,45.00%,1.0%,0.9%,94.3%,1.0%,N/A,N/A,N/A,3.2,49.20%,6,N/A,15,N/A,0.00,25,1,51,225,586,NH-00660,20.35,N/A
Andover,New Hampshire,2783,69,Concord,152622,80,29,51,45,132,199,66,N/A,N/A,6,7,19,N/A,41.19%,$70025,N/A,N/A,N/A,$222000,N/A,N/A,44,73.40%,10%,30%,12%,87,27 mins,2.10%,1.40%,12.70%,Merrimack County,48.10%,45.00%,1.4%,1.5%,95.9%,1.0%,N/A,N/A,N/A,3.2,45.70%,20,N/A,42,N/A,0.00,19,0,42,N/A,N/A,NH-01460,40.33,N/A
Blodgett Landing,New Hampshire,88,303,Concord,152622,79,29,50,49,134,199,73,56.1,35.7,N/A,6,16,44,74.6%,$234327,0.0%,N/A,N/A,$885700,N/A,$866,78,100.0%,7%,27%,10%,88,26 mins,0.0%,1.40%,-34.30%,Merrimack County,48.10%,45.00%,0.0%,0.0%,100.0%,0.0%,0.0%,N/A,N/A,3.2,13.00%,0,N/A,18,20.1%,0.00,18,0,35,N/A,N/A,NH-06020,0.29,90.48%
Boscawen,New Hampshire,3983,161,Concord,152622,81,30,51,45,134,199,62,N/A,N/A,6,11,20,N/A,18.60%,$54623,N/A,N/A,N/A,$226100,N/A,N/A,45,71.80%,5%,24%,9%,79,27 mins,2.10%,1.40%,0.50%,Merrimack County,48.10%,45.00%,0.3%,0.2%,97.2%,1.7%,N/A,N/A,N/A,3.2,52.80%,7,N/A,7,N/A,0.00,22,1,44,195,781,NH-06260,24.74,N/A
Bow,New Hampshire,7692,274,Concord,152622,81,30,51,46,133,199,63,N/A,N/A,6,9,14,N/A,55.43%,$105266,N/A,N/A,N/A,$332400,N/A,N/A,33,86.20%,6%,23%,10%,76,25 mins,2.10%,1.40%,1.60%,Merrimack County,48.10%,45.00%,1.4%,0.2%,95.2%,1.9%,N/A,N/A,N/A,3.2,32.50%,0,N/A,11,N/A,0.00,24,1,45,62,374,NH-06500,28.07,N/A
Bradford,New Hampshire,306,387,Concord,152622,79,29,50,47,135,199,68,N/A,N/A,6,11,11,49,28.4%,$50250,1.66%,$1073,N/A,$249900,N/A,N/A,45,82.35%,8%,21%,10%,88,31 mins,2.61%,1.40%,18.50%,Merrimack County,48.10%,45.00%,0.0%,0.0%,98.69%,1.31%,1.31%,N/A,N/A,3.2,34.70%,27,N/A,N/A,29.3%,0.00,21,1,36,0,1111,NH-06900,0.79,84.87%
Canterbury,New Hampshire,2248,52,Concord,152622,81,30,51,47,134,199,62,N/A,N/A,6,5,18,N/A,51.72%,$86797,N/A,N/A,N/A,$265700,N/A,N/A,34,84.20%,3%,25%,9%,80,29 mins,2.10%,1.40%,-10.20%,Merrimack County,48.10%,45.00%,1.0%,0.9%,96.1%,1.7%,N/A,N/A,N/A,3.2,39.10%,26,N/A,24,N/A,0.00,23,1,47,81,1053,NH-09860,43.23,N/A
Chichester,New Hampshire,2590,123,Concord,152622,81,30,51,46,134,199,62,N/A,N/A,6,7,17,N/A,28.51%,$75988,N/A,N/A,N/A,$290800,N/A,N/A,33,89.90%,5%,24%,11%,81,27 mins,2.10%,1.40%,3.40%,Merrimack County,48.10%,45.00%,0.5%,0.4%,96.3%,1.5%,N/A,N/A,N/A,3.2,35.60%,6,N/A,25,N/A,0.00,27,1,45,73,996,NH-12420,21.06,N/A
Concord,New Hampshire,43503,680,Concord,152622,82,31,51,44,129,197,62,56.6,36.1,6,14,32,40,38.49%,$70004,9.18%,$1104,N/A,$232000,N/A,$219,46,61.6%,6%,27%,10%,67,21 mins,4.4%,1.50%,-0.60%,Merrimack County,48.10%,45.00%,4.18%,3.0%,86.72%,3.49%,8.93%,N/A,N/A,3.2,54.30%,36,N/A,37,20.7%,52.53,22,1,46,149,1850,NH-14200,63.96,62.76%
Contoocook,New Hampshire,1353,588,Concord,152622,81,30,51,46,133,198,62,56.1,35.7,6,7,19,49,42.96%,$72299,0.0%,$890,N/A,$238200,N/A,$248,53,87.14%,7%,26%,10%,81,26 mins,2.41%,1.40%,18.40%,Merrimack County,48.10%,45.00%,0.0%,0.0%,98.0%,2.0%,0.89%,N/A,N/A,3.2,47.60%,49,N/A,36,25.7%,49.08,21,1,43,N/A,N/A,NH-14340,2.3,65.7%
Danbury,New Hampshire,1281,34,Concord,152622,80,29,51,48,136,199,72,N/A,N/A,6,9,22,N/A,19.91%,$58563,N/A,N/A,N/A,$186300,N/A,N/A,37,71.50%,9%,41%,14%,89,33 mins,2.10%,1.40%,-2.40%,Merrimack County,48.10%,45.00%,0.4%,1.1%,98.0%,0.0%,N/A,N/A,N/A,3.2,47.80%,25,N/A,29,N/A,0.00,20,0,40,N/A,N/A,NH-16980,37.68,N/A
